,Date,Text,Positive,Negative,Neutral,Compound
0,Mon Mar 12 19:45:46 +0000 2018,"Despite polls showing otherwise, White House press secretary Sarah Sanders says there is no ""broad-based support"" i… https://t.co/7J6bbnOLg7",0.129,0.105,0.766,0.128
1,Mon Mar 12 19:29:08 +0000 2018,"""If we were going to have a debate where we showed up with Donald Trump's accusers and the people who said they had… https://t.co/q1tZBAGhGs",0.0,0.0,1.0,0.0
2,Mon Mar 12 19:00:29 +0000 2018,"""If you're not going to be against Ivanka Trump trying to sell her jewelry during interviews, then you should not b… https://t.co/OAqnZJzLdn",0.0,0.0,1.0,0.0
3,Mon Mar 12 18:47:16 +0000 2018,"CNN's Areva Martin tells @BrookeBCNN that there is ""probably not the slightest chance that Trump and Cohen and his… https://t.co/riVnVhStpd",0.0,0.084,0.916,-0.1877
4,Mon Mar 12 17:30:25 +0000 2018,"RT @CNN: The pair of explosions that left two people dead in Austin, Texas, over the last 10 days share similarities and authorities suspec…",0.077,0.151,0.772,-0.4767
5,Mon Mar 12 16:08:05 +0000 2018,"""The chances of North Korea making concessions on nuclear weapons... is very very close to zero"" - Atlantic Council… https://t.co/kMiymmAfMQ",0.091,0.0,0.909,0.2023
6,Mon Mar 12 15:50:51 +0000 2018,"Democratic Rep. Ted Deutch slams President Trump's backpedaling ""to a position that is solely the one that the NRA… https://t.co/qwTC897Ew5",0.0,0.0,1.0,0.0
7,Mon Mar 12 15:24:30 +0000 2018,"Fashion designer Hubert de Givenchy, famous for styling Audrey Hepburn's ""Little Black Dress,"" has died at the age… https://t.co/Kv3ov5RzGB",0.0,0.167,0.833,-0.5574
8,Mon Mar 12 14:41:25 +0000 2018,"Democratic Rep. Ted Lieu has asked the FBI to ""investigate whether any federal laws were violated"" in Trump's lawye… https://t.co/HQfu55GUJ3",0.0,0.152,0.848,-0.5267
9,Mon Mar 12 13:43:16 +0000 2018,"Education Secretary Betsy DeVos calls on President Trump to not use foul language, pointing to ""an opportunity and… https://t.co/QJRCQtoRHB",0.135,0.0,0.865,0.4215
10,Sun Mar 11 22:24:53 +0000 2018,"RT @CNN: ""Do not spend all your time talking about your opponents."" Oprah has some advice for anyone who runs for president in 2020. Watch…",0.0,0.0,1.0,0.0
11,Fri Mar 09 21:37:31 +0000 2018,"""All I can say is, it was church. It was Oprah Winfrey from like '96, '97. She starts dancing, she's preaching...I… https://t.co/ys3lSFBfQZ",0.111,0.0,0.889,0.3612
12,Fri Mar 09 21:23:23 +0000 2018,".@VanJones68 on new Florida gun reform law: “This is progress” in that a Republican governor, majority-Republican H… https://t.co/p0PuNcri4X",0.0,0.13,0.87,-0.34
13,Fri Mar 09 21:14:49 +0000 2018,"""Was it going to be in the Briefing Room? Was Sarah Sanders going to introduce him? Was it going to be outside? Was… https://t.co/n8L8tzcSTq",0.0,0.0,1.0,0.0
14,Fri Mar 09 19:48:33 +0000 2018,"WH press secretary Sarah Sanders says the US will not move forward with North Korean talks ""until we see concrete a… https://t.co/6XVwTc4Umv",0.0,0.0,1.0,0.0
15,Fri Mar 09 19:25:48 +0000 2018,"""It really raises the question, Brooke, about who's telling the truth in this entire situation."" CNN's Areva Martin… https://t.co/SNrFvceV4D",0.113,0.0,0.887,0.3182
16,Fri Mar 09 19:11:22 +0000 2018,"""The goal is to begin to talk about what steps that both countries can take to begin to back away from the brinkman… https://t.co/5RVnP1DCJU",0.0,0.0,1.0,0.0
17,Fri Mar 09 15:53:56 +0000 2018,"""Any path that leads to a diplomatic resolution to ease tensions in the Korean Peninsula and leads to a denucleariz… https://t.co/4cCiAbSkvV",0.113,0.122,0.766,-0.0516
18,Fri Mar 09 14:54:41 +0000 2018,"""Kim Jong Un is very sly... He's been to this rodeo before"" says former US Ambassador to China Max Baucus. ""It's re… https://t.co/Xh3djQxz7V",0.0,0.0,1.0,0.0
19,Fri Mar 09 14:43:56 +0000 2018,RT @CNN: Former Trump campaign aide Sam Nunberg has arrived at court to testify before a grand jury in special counsel Robert Mueller’s inv…,0.213,0.0,0.787,0.6908
20,Mon Mar 12 19:45:46 +0000 2018,"Despite polls showing otherwise, White House press secretary Sarah Sanders says there is no ""broad-based support"" i… https://t.co/7J6bbnOLg7",0.129,0.105,0.766,0.128
