,Date,Text,Positive,Negative,Neutral,Compound
0,Tue Mar 13 05:00:21 +0000 2018,"Servers ignore comments about their bodies, laugh off propositions and deflect behavior that makes them uncomfortab… https://t.co/w8qLIn6BYM",0.171,0.118,0.711,0.2732
1,Tue Mar 13 04:47:01 +0000 2018,"RT @NYTStyles: ""As a gynecologist I am frequently asked about the 'right number' of times to have sex a month. There isn’t one."" Read the l…",0.056,0.0,0.944,0.0772
2,Tue Mar 13 04:32:07 +0000 2018,Scientists have found another way to tell alligators and crocodiles apart https://t.co/0xWWmIDNzf,0.0,0.0,1.0,0.0
3,Tue Mar 13 04:17:05 +0000 2018,"“No one can predict what will happen to Cuba in the coming years, which is why you must rush there now. As in, righ… https://t.co/Z7eLxUuOEn",0.0,0.0,1.0,0.0
4,Tue Mar 13 04:02:01 +0000 2018,"President Trump is making his first visit as president to California on Tuesday, but he has not made plans to meet… https://t.co/5Eg29bXELj",0.0,0.0,1.0,0.0
5,Tue Mar 13 03:46:03 +0000 2018,"Here are 6 NCAA bracket busters that @marcatracy and @zschonbrun think could hit. (Including, yes, a No. 16 beating… https://t.co/xHuqubJL6a",0.129,0.105,0.766,0.128
6,Tue Mar 13 03:32:07 +0000 2018,How to stop eating sugar https://t.co/ua89Cgmtye https://t.co/vz5wJ0F6FO,0.0,0.268,0.732,-0.296
7,Tue Mar 13 03:17:06 +0000 2018,"RT @nytopinion: The story of the rise of Peter Navarro, the president’s trade czar, tells you a lot about the nature of the Trump administr…",0.0,0.0,1.0,0.0
8,Tue Mar 13 03:02:06 +0000 2018,Before there was Rosa Parks there was Viola Desmond. Now Canada is putting her on its currency. https://t.co/8wn9FG94UW,0.0,0.0,1.0,0.0
9,Tue Mar 13 02:51:01 +0000 2018,"""I will ask myself more compassionate questions and look for nonjudgmental answers,"" wrote one of the nearly 1,200… https://t.co/TArmYVykD9",0.163,0.0,0.837,0.5413
10,Tue Mar 13 02:41:00 +0000 2018,"The investigation, which the Met opened in December after this report in The New York Times, found evidence of abus… https://t.co/U9hEy3qB0j",0.0,0.0,1.0,0.0
11,Tue Mar 13 02:30:10 +0000 2018,“A photograph is a secret about a secret. The more it tells you the less you know.” — Diane Arbus… https://t.co/cDflOWTAcw,0.0,0.0,1.0,0.0
12,Tue Mar 13 02:17:04 +0000 2018,Secretary of State Rex Tillerson called the poisoning of a former Russian spy in Britain “an egregious act” and add… https://t.co/XWEw3dg7um,0.0,0.167,0.833,-0.5859
13,Tue Mar 13 02:02:02 +0000 2018,"The man patted his lap, beckoned her to sit and said, ""I'm a great tipper."" Restaurant servers talk about the haras… https://t.co/q5lKn70vyJ",0.17,0.0,0.83,0.6249
14,Tue Mar 13 01:47:01 +0000 2018,RT @nytopinion: A stranger snapped a photo of my daughter mesmerized by Amy Sherald's portrait of Michelle Obama. The image resonated with…,0.0,0.0,1.0,0.0
15,Tue Mar 13 01:32:04 +0000 2018,New England is bracing for yet another winter storm — a third in less than two weeks https://t.co/xMeFdHyFHZ,0.0,0.0,1.0,0.0
16,Tue Mar 13 01:17:07 +0000 2018,"RT @marcatracy: Two years ago, all six of the first-round upsets @zschonbrun and I picked were right. so maybe you'll want to consult this…",0.062,0.1,0.838,-0.235
17,Tue Mar 13 01:02:05 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/qHy2he7FzU,0.0,0.0,1.0,0.0
18,Tue Mar 13 00:47:03 +0000 2018,"If you plan to visit Brazil, the CDC says you will need a yellow fever vaccination https://t.co/xfUwG2UNKF",0.0,0.0,1.0,0.0
19,Tue Mar 13 00:32:04 +0000 2018,Supervolcanoes have the power to coat entire continents in ash. But they might not be as apocalyptic as previously… https://t.co/8TKke5mPFd,0.156,0.0,0.844,0.5448
20,Tue Mar 13 05:00:21 +0000 2018,"Servers ignore comments about their bodies, laugh off propositions and deflect behavior that makes them uncomfortab… https://t.co/w8qLIn6BYM",0.171,0.118,0.711,0.2732
21,Tue Mar 13 04:47:01 +0000 2018,"RT @NYTStyles: ""As a gynecologist I am frequently asked about the 'right number' of times to have sex a month. There isn’t one."" Read the l…",0.056,0.0,0.944,0.0772
22,Tue Mar 13 04:32:07 +0000 2018,Scientists have found another way to tell alligators and crocodiles apart https://t.co/0xWWmIDNzf,0.0,0.0,1.0,0.0
23,Tue Mar 13 04:17:05 +0000 2018,"“No one can predict what will happen to Cuba in the coming years, which is why you must rush there now. As in, righ… https://t.co/Z7eLxUuOEn",0.0,0.0,1.0,0.0
24,Tue Mar 13 04:02:01 +0000 2018,"President Trump is making his first visit as president to California on Tuesday, but he has not made plans to meet… https://t.co/5Eg29bXELj",0.0,0.0,1.0,0.0
25,Tue Mar 13 03:46:03 +0000 2018,"Here are 6 NCAA bracket busters that @marcatracy and @zschonbrun think could hit. (Including, yes, a No. 16 beating… https://t.co/xHuqubJL6a",0.129,0.105,0.766,0.128
26,Tue Mar 13 03:32:07 +0000 2018,How to stop eating sugar https://t.co/ua89Cgmtye https://t.co/vz5wJ0F6FO,0.0,0.268,0.732,-0.296
27,Tue Mar 13 03:17:06 +0000 2018,"RT @nytopinion: The story of the rise of Peter Navarro, the president’s trade czar, tells you a lot about the nature of the Trump administr…",0.0,0.0,1.0,0.0
28,Tue Mar 13 03:02:06 +0000 2018,Before there was Rosa Parks there was Viola Desmond. Now Canada is putting her on its currency. https://t.co/8wn9FG94UW,0.0,0.0,1.0,0.0
29,Tue Mar 13 02:51:01 +0000 2018,"""I will ask myself more compassionate questions and look for nonjudgmental answers,"" wrote one of the nearly 1,200… https://t.co/TArmYVykD9",0.163,0.0,0.837,0.5413
30,Tue Mar 13 02:41:00 +0000 2018,"The investigation, which the Met opened in December after this report in The New York Times, found evidence of abus… https://t.co/U9hEy3qB0j",0.0,0.0,1.0,0.0
31,Tue Mar 13 02:30:10 +0000 2018,“A photograph is a secret about a secret. The more it tells you the less you know.” — Diane Arbus… https://t.co/cDflOWTAcw,0.0,0.0,1.0,0.0
32,Tue Mar 13 02:17:04 +0000 2018,Secretary of State Rex Tillerson called the poisoning of a former Russian spy in Britain “an egregious act” and add… https://t.co/XWEw3dg7um,0.0,0.167,0.833,-0.5859
33,Tue Mar 13 02:02:02 +0000 2018,"The man patted his lap, beckoned her to sit and said, ""I'm a great tipper."" Restaurant servers talk about the haras… https://t.co/q5lKn70vyJ",0.17,0.0,0.83,0.6249
34,Tue Mar 13 01:47:01 +0000 2018,RT @nytopinion: A stranger snapped a photo of my daughter mesmerized by Amy Sherald's portrait of Michelle Obama. The image resonated with…,0.0,0.0,1.0,0.0
35,Tue Mar 13 01:32:04 +0000 2018,New England is bracing for yet another winter storm — a third in less than two weeks https://t.co/xMeFdHyFHZ,0.0,0.0,1.0,0.0
36,Tue Mar 13 01:17:07 +0000 2018,"RT @marcatracy: Two years ago, all six of the first-round upsets @zschonbrun and I picked were right. so maybe you'll want to consult this…",0.062,0.1,0.838,-0.235
37,Tue Mar 13 01:02:05 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/qHy2he7FzU,0.0,0.0,1.0,0.0
